,titles,subtitles,links
0,Powell hawkish en el Congreso: la Fed podría subir tasas más de lo esperado,Por Julio Sánchez Onofre Investing.com - La Reserva Federal de Estados Unidos (Fed) mantendrá una política monetaria restrictiva al continuar con los aumentos...,https://es.investing.com/news/economy/powell-hawkish-en-el-congreso-la-fed-podria-subir-tasas-mas-de-lo-esperado-2368276
1,Wall Street cae por temor a un alza de tasas tras las declaraciones de Powell,"Por Sinéad Carew y Sruthi Shankar 7 mar (Reuters) -Las acciones estadounidenses cerraron con una fuerte baja el martes después de que el presidente de la Reserva Federal, Jerome...",https://es.investing.com/news/economy/wall-street-cae-por-temor-a-un-alza-de-tasas-tras-las-declaraciones-de-powell-2368283
2,"EN VIVO: Jerome Powell, presidente de la Fed, comparece en el Capitolio","Investing.com -  Este martes, los inversionistas estarán atentos a la comparecencia semestral del presidente de la Reserva Federal (Fed), Jerome Powell, ante el Congreso de Estados...",https://es.investing.com/news/economy/en-vivo-jerome-powell-presidente-de-la-fed-comparece-en-el-capitolio-2368252
3,"Powell sobre las cripto: Vemos incertidumbre, fraude y falta de transparencia","Por Julio Sánchez Onofre Investing.com - Durante su comparecencia en el Congreso de Estados Unidos, el presidente de la Reserva Federal (Fed), Jerome Powell, dijo que en el...",https://es.investing.com/news/cryptocurrency-news/powell-sobre-las-cripto-vemos-incertidumbre-fraude-y-falta-de-transparencia-2368367
4,"Powell, China 'vs' EE.UU., despidos en Meta: 5 claves en Wall Street","Por Geoffrey Smith Investing.com - El presidente de la Reserva Federal, Jerome Powell, hablará sobre el estado de la economía estadounidense, su última gran...",https://es.investing.com/news/stock-market-news/powell-china-vs-eeuu-despidos-en-meta-5-claves-en-wall-street-2368145
5,Atentos a Powell: 5 claves este martes en los mercados,"Por Laura Sánchez Investing.com - Hoy habla Jerome Powell, presidente de la Reserva Federal estadounidense (Fed). Continúa la temporada de resultados...",https://es.investing.com/news/economy/atentos-a-powell-5-claves-este-martes-en-los-mercados-2367937
6,"Powell + informe de empleo, doble tensión: Las claves, en Investing.com","Investing.com - Semana intensa en los mercados, con los inversores muy pendientes de diferentes datos macro que vamos conociendo y también muy atentos a la comparecencia...",https://es.investing.com/news/economy/powell--informe-de-empleo-doble-tension-las-claves-en-investingcom-2367982
7,Inteligencia EEUU sugiere que grupo pro-ucraniano saboteó oleoductos Nord Stream: New York Times,"WASHINGTON, 7 mar (Reuters) -Nueva información de inteligencia revisada por funcionarios estadounidenses sugiere que un grupo pro-ucraniano llevó a cabo el ataque contra los...",https://es.investing.com/news/stock-market-news/inteligencia-eeuu-sugiere-que-grupo-proucraniano-saboteo-oleoductos-nord-stream-new-york-times-2368295
8,¿Cómo afecta el nuevo impuesto de transacciones financieras a la Bolsa?,Investing.com - La Comisión Nacional del Mercado de Valores (CNMV) publica hoy un artículo en el que se estudian los efectos de la implantación del impuesto...,https://es.investing.com/news/stock-market-news/como-afecta-el-nuevo-impuesto-de-transacciones-financieras-a-la-bolsa-2368090
9,¿Quieres diversificar tu cartera con otras opciones?,"Investing.com - Ante un entorno volátil, es importante la diversificación de tu cartera. Si estás interesado en valorar otras opciones, anímate y...",https://es.investing.com/news/stock-market-news/quieres-diversificar-tu-cartera-con-otras-opciones-2367948
